"property_id","address","street_name","city","rstate","latitude","longitude","postcode","price","zestimate","bedroom_number","bathroom_number","price_per_unit","living_space","land_space","property_type","property_status","agency_name","zillow_owned","RunDate"
"59149467","326 A St SUITE 5C, Boston, MA 02210","A St SUITE 5C","Boston","MA","42.349503","-71.04965","02210",2595000.00,2520500.00,2.00,2.00,913,2842.00,"","CONDO","PENDING","",0,"2022-03-13 07:34:20"
"2067535143","245 D St, Boston, MA 02127","D St","Boston","MA","42.338478","-71.05103","02127",2999900.00,"","","","","",3484.8000,"LOT","FOR_SALE","Simaku Realty, LLC",0,"2022-03-13 07:34:20"
"2098746884","13 Thacher St APT 4, Boston, MA 02113","Thacher St APT 4","Boston","MA","42.36537","-71.05701","02113",675000.00,"",2.00,1.00,833,810.00,871.2000,"CONDO","FOR_SALE","Anzalone Realty",0,"2022-03-13 07:34:20"
"2067537844","465 E 8th St, Boston, MA 02127","E 8th St","Boston","MA","42.33124","-71.04243","02127",1399000.00,1367300.00,4.00,3.00,904,1547.00,2613.6000,"MULTI_FAMILY","FOR_SALE","Coldwell Banker Realty - Milton",0,"2022-03-13 07:34:20"
"59163178","6 Whittier Pl APT 2G, Boston, MA 02114","Whittier Pl APT 2G","Boston","MA","42.365837","-71.06679","02114",475000.00,461900.00,0.00,1.00,746,636.00,636.0000,"CONDO","FOR_SALE","RE/MAX Executive Realty",0,"2022-03-13 07:34:20"
"59163215","6 Whittier Pl APT 4N, Boston, MA 02114","Whittier Pl APT 4N","Boston","MA","42.365837","-71.06679","02114",741500.00,727900.00,2.00,2.00,572,1296.00,1306.8000,"CONDO","FOR_SALE","RE/MAX Executive Realty",0,"2022-03-13 07:34:20"
"2077452810","17 Bowdoin St APT 5BC, Boston, MA 02114","Bowdoin St APT 5BC","Boston","MA","42.36086","-71.063095","02114",850000.00,835700.00,3.00,2.00,887,958.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"59174557","43 Commercial Wharf APT 8, Boston, MA 02110","Commercial Wharf APT 8","Boston","MA","42.362057","-71.05077","02110",2100000.00,2052100.00,2.00,2.00,1235,1700.00,1306.8000,"CONDO","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"2067588931","67-69 W Cedar St #71, Boston, MA 02114","69 W Cedar St #71","Boston","MA","","","02114",5400000.00,"",6.00,12.00,692,7800.00,2613.6000,"MULTI_FAMILY","FOR_SALE","Keliher Real Estate",0,"2022-03-13 07:34:20"
"2067630781","592A E Broadway, Boston, MA 02127","E Broadway","Boston","MA","42.335682","-71.040535","02127",3199000.00,3149500.00,6.00,9.00,722,4425.00,1829.0000,"MULTI_FAMILY","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"2067621139","106 Fulton St #1A, Boston, MA 02109","Fulton St #1A","Boston","MA","42.362907","-71.05283","02109",1499000.00,1460700.00,3.00,3.00,728,2057.00,"","CONDO","FOR_SALE","Engel & Volkers Boston",0,"2022-03-13 07:34:20"
"59183971","143 W Brookline St APT 501, Boston, MA 02118","W Brookline St APT 501","Boston","MA","42.341908","-71.07482","02118",1699000.00,1680400.00,3.00,2.00,1147,1480.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
